i,t,rho,beta,power,flux,s_Fuel,s_Precursors,s_Absorber,s_Water
320,16.000000000000092,9.762531265046584e-09,0.008117706728192156,6.545332024454401,7.801322167894802e-13,212.7659574466994,1.7042984536866065e-14,1107.0483864642276,55555.555555555555
330,16.5000000000001,9.762397934629982e-09,0.008117706728192425,6.545332056403688,7.801322205974867e-13,212.76595744669598,1.7042984620057124e-14,1107.0483864642276,55555.555555555555
340,17.000000000000107,9.762269328489013e-09,0.008117706728192687,6.545332088352546,7.801322244054423e-13,212.76595744669257,1.704298470324706e-14,1107.0483864642276,55555.555555555555
350,17.500000000000114,9.762139460386433e-09,0.008117706728192951,6.545332120300973,7.801322282133464e-13,212.76595744668916,1.7042984786435876e-14,1107.0483864642276,55555.555555555555
360,18.00000000000012,9.762006032901496e-09,0.008117706728193215,6.545332152248972,7.801322320211996e-13,212.76595744668575,1.7042984869623577e-14,1107.0483864642276,55555.555555555555
370,18.500000000000128,9.761871343455002e-09,0.00811770672819348,6.545332184196539,7.801322358290013e-13,212.76595744668234,1.7042984952810153e-14,1107.0483864642276,55555.555555555555
380,19.000000000000135,9.761739501517848e-09,0.008117706728193747,6.545332216143674,7.801322396367515e-13,212.76595744667893,1.704298503599561e-14,1107.0483864642276,55555.555555555555
390,19.500000000000142,9.7616123838562e-09,0.00811770672819401,6.545332248090383,7.801322434444509e-13,212.76595744667551,1.704298511917995e-14,1107.0483864642276,55555.555555555555
400,20.00000000000015,9.761479927120157e-09,0.008117706728194276,6.545332280036658,7.801322472520985e-13,212.7659574466721,1.7042985202363167e-14,1107.0483864642276,55555.555555555555
410,20.500000000000156,9.761347988114646e-09,0.008117706728194538,6.545332311982507,7.801322510596955e-13,212.7659574466687,1.7042985285545267e-14,1107.0483864642276,55555.555555555555
420,21.000000000000163,9.761216922778091e-09,0.008117706728194805,6.545332343927922,7.801322548672407e-13,212.76595744666528,1.7042985368726242e-14,1107.0483864642276,55555.555555555555
430,21.50000000000017,9.761082330417352e-09,0.008117706728195067,6.545332375872911,7.80132258674735e-13,212.76595744666187,1.7042985451906102e-14,1107.0483864642276,55555.555555555555
440,22.000000000000178,9.760954727394661e-09,0.008117706728195333,6.545332407817467,7.801322624821779e-13,212.76595744665846,1.7042985535084842e-14,1107.0483864642276,55555.555555555555
450,22.500000000000185,9.760819520235092e-09,0.008117706728195598,6.545332439761595,7.801322662895697e-13,212.76595744665505,1.7042985618262466e-14,1107.0483864642276,55555.555555555555
460,23.000000000000192,9.760689134425014e-09,0.008117706728195862,6.545332471705294,7.801322700969103e-13,212.76595744665164,1.7042985701438966e-14,1107.0483864642276,55555.555555555555
470,23.5000000000002,9.760557454295374e-09,0.008117706728196129,6.5453325036485595,7.801322739041993e-13,212.76595744664823,1.7042985784614352e-14,1107.0483864642276,55555.555555555555
480,24.000000000000206,9.760426453686433e-09,0.008117706728196391,6.545332535591398,7.801322777114374e-13,212.76595744664482,1.704298586778861e-14,1107.0483864642276,55555.555555555555
490,24.500000000000213,9.760298268228603e-09,0.008117706728196656,6.545332567533804,7.80132281518624e-13,212.7659574466414,1.7042985950961754e-14,1107.0483864642276,55555.555555555555
500,25.00000000000022,9.760164452474307e-09,0.008117706728196918,6.545332599475785,7.801322853257598e-13,212.765957446638,1.7042986034133782e-14,1107.0483864642276,55555.555555555555
510,25.500000000000227,9.760033548945237e-09,0.008117706728197185,6.545332631417332,7.80132289132844e-13,212.7659574466346,1.7042986117304684e-14,1107.0483864642276,55555.555555555555
520,26.000000000000234,9.759901221664488e-09,0.008117706728197449,6.545332663358451,7.801322929398771e-13,212.76595744663118,1.7042986200474473e-14,1107.0483864642276,55555.555555555555
530,26.50000000000024,9.759769638620504e-09,0.008117706728197713,6.5453326952991375,7.801322967468587e-13,212.76595744662777,1.704298628364313e-14,1107.0483864642276,55555.555555555555
540,27.00000000000025,9.759636728898974e-09,0.008117706728197978,6.545332727239396,7.801323005537893e-13,212.76595744662436,1.704298636681068e-14,1107.0483864642276,55555.555555555555
550,27.500000000000256,9.75950857581063e-09,0.008117706728198242,6.545332759179225,7.801323043606687e-13,212.76595744662094,1.7042986449977107e-14,1107.0483864642276,55555.555555555555
560,28.000000000000263,9.759377154562591e-09,0.008117706728198509,6.545332791118621,7.801323081674965e-13,212.76595744661753,1.7042986533142414e-14,1107.0483864642276,55555.555555555555
570,28.50000000000027,9.759246251045035e-09,0.008117706728198771,6.545332823057591,7.801323119742736e-13,212.76595744661412,1.7042986616306602e-14,1107.0483864642276,55555.555555555555
580,29.000000000000277,9.759112111725882e-09,0.00811770672819904,6.545332854996127,7.801323157809988e-13,212.7659574466107,1.704298669946967e-14,1107.0483864642276,55555.555555555555
590,29.500000000000284,9.758982761397869e-09,0.008117706728199302,6.545332886934235,7.80132319587673e-13,212.7659574466073,1.7042986782631613e-14,1107.0483864642276,55555.555555555555
600,30.00000000000029,9.758852052034292e-09,0.008117706728199565,6.545332918871912,7.80132323394296e-13,212.7659574466039,1.7042986865792436e-14,1107.0483864642276,55555.555555555555
610,30.5000000000003,9.758717912720947e-09,0.008117706728199833,6.5453329508091596,7.801323272008677e-13,212.76595744660048,1.7042986948952146e-14,1107.0483864642276,55555.555555555555
620,31.000000000000306,9.758588497682597e-09,0.008117706728200093,6.545332982745981,7.801323310073886e-13,212.76595744659707,1.704298703211074e-14,1107.0483864642276,55555.555555555555
630,31.500000000000313,9.758457885398887e-09,0.008117706728200358,6.545333014682367,7.801323348138575e-13,212.76595744659366,1.7042987115268205e-14,1107.0483864642276,55555.555555555555
640,32.00000000000032,9.758323746091347e-09,0.008117706728200624,6.5453330466183255,7.801323386202758e-13,212.76595744659025,1.7042987198424557e-14,1107.0483864642276,55555.555555555555
650,32.50000000000029,9.758194492848914e-09,0.008117706728200887,6.545333078553854,7.801323424266426e-13,212.76595744658684,1.7042987281579786e-14,1107.0483864642276,55555.555555555555
660,33.00000000000026,9.758059771100643e-09,0.008117706728201154,6.5453331104889525,7.801323462329581e-13,212.76595744658343,1.7042987364733902e-14,1107.0483864642276,55555.555555555555
670,33.500000000000234,9.757929935417435e-09,0.00811770672820142,6.54533314242362,7.801323500392222e-13,212.76595744658002,1.7042987447886887e-14,1107.0483864642276,55555.555555555555
680,34.000000000000206,9.757796669784568e-09,0.008117706728201685,6.5453331743578556,7.80132353845435e-13,212.7659574465766,1.7042987531038756e-14,1107.0483864642276,55555.555555555555
690,34.50000000000018,9.757668128426527e-09,0.008117706728201944,6.545333206291667,7.801323576515971e-13,212.7659574465732,1.7042987614189507e-14,1107.0483864642276,55555.555555555555
700,35.00000000000015,9.757538357465121e-09,0.008117706728202211,6.5453332382250435,7.801323614577075e-13,212.7659574465698,1.7042987697339138e-14,1107.0483864642276,55555.555555555555
710,35.50000000000012,9.757405091838035e-09,0.008117706728202475,6.545333270157992,7.801323652637668e-13,212.76595744656638,1.7042987780487653e-14,1107.0483864642276,55555.555555555555
720,36.00000000000009,9.757274641361763e-09,0.008117706728202738,6.54533330209051,7.801323690697749e-13,212.76595744656296,1.7042987863635044e-14,1107.0483864642276,55555.555555555555
730,36.500000000000064,9.757140728577887e-09,0.008117706728203005,6.5453333340226,7.801323728757317e-13,212.76595744655955,1.704298794678132e-14,1107.0483864642276,55555.555555555555
740,37.000000000000036,9.757011734216936e-09,0.00811770672820327,6.545333365954256,7.801323766816371e-13,212.76595744655614,1.704298802992647e-14,1107.0483864642276,55555.555555555555
750,37.50000000000001,9.756879309906431e-09,0.008117706728203535,6.545333397885483,7.801323804874912e-13,212.76595744655273,1.70429881130705e-14,1107.0483864642276,55555.555555555555
760,37.99999999999998,9.756747532758504e-09,0.008117706728203798,6.545333429816284,7.801323842932945e-13,212.76595744654932,1.7042988196213418e-14,1107.0483864642276,55555.555555555555
770,38.49999999999995,9.756618603119346e-09,0.008117706728204064,6.54533346174665,7.801323880990461e-13,212.7659574465459,1.704298827935521e-14,1107.0483864642276,55555.555555555555
780,38.99999999999992,9.756484043184498e-09,0.008117706728204326,6.5453334936765915,7.80132391904747e-13,212.7659574465425,1.704298836249589e-14,1107.0483864642276,55555.555555555555
