i,t,rho,beta,power,flux,s_Fuel,s_Precursors,s_Structure,s_Water,s_Xenon
1200,11.999999999999789,0.07572150241457723,0.00594683019715329,151.26263084878082,1.80288564553462e-11,192.7659574460799,2.6084139793720034e-12,1960.8941677404896,41666.666666666664,0.003702770446915044
1300,12.999999999999767,0.07709726202284728,0.006034055893064497,171.99660074071713,2.050011961422177e-11,192.7659574459275,3.0097237395136698e-12,1960.8941677404896,41666.666666666664,0.0037026926809688716
1400,13.999999999999746,0.07826892459607902,0.006108240714669304,194.61877492709834,2.319643613883542e-11,192.76595744575474,3.4477100444111264e-12,1960.8941677404896,41666.666666666664,0.003702614915504429
1500,14.999999999999725,0.07927473619534318,0.006171831105291617,219.30197005468798,2.613840388934674e-11,192.7659574455596,3.9256738023584365e-12,1960.8941677404896,41666.666666666664,0.0037025371504168687
1600,15.999999999999703,0.08014432033661296,0.006226721293730181,246.2345924785786,2.934847884918123e-11,192.76595744534018,4.447235454368244e-12,1960.8941677404896,41666.666666666664,0.0037024593855917573
1700,16.999999999999858,0.08090089103370846,0.006274395216693617,275.6221427603407,3.2851154444806864e-11,192.7659574450942,5.0163570567106665e-12,1960.8941677404896,41666.666666666664,0.003702381620904208
1800,18.000000000000014,0.08156284651386157,0.006316028658981607,307.6888267645263,3.667315357087234e-11,192.76595744481918,5.637369210802332e-12,1960.8941677404896,41666.666666666664,0.0037023038562179304
1900,19.00000000000017,0.0821449269687668,0.006352563414251178,342.6792954610045,4.0843635955677236e-11,192.76595744451257,6.3150021656682274e-12,1960.8941677404896,41666.666666666664,0.003702226091384201
2000,20.000000000000327,0.08265906356537252,0.006384761645418257,380.8605326839096,4.539442316145735e-11,192.76595744417142,7.054420799405446e-12,1960.8941677404896,41666.666666666664,0.0037021483262407195
2100,21.000000000000483,0.08311500721862619,0.006413246128757197,422.52390891348927,5.0360243372789635e-11,192.76595744379267,7.861263426827482e-12,1960.8941677404896,41666.666666666664,0.00370207056061037
2200,22.00000000000064,0.08352079896991234,0.006438530350511507,467.9874190224414,5.577899811155847e-11,192.76595744337286,8.741684537330393e-12,1960.8941677404896,41666.666666666664,0.0037019927942998692
2300,23.000000000000796,0.08388312544417481,0.006461041244082517,517.5981224981808,6.169205308484539e-11,192.76595744290807,9.702401674259328e-12,1960.8941677404896,41666.666666666664,0.003701915027098294
2400,24.000000000000952,0.0842075901587265,0.0064811365403357225,571.7348057011699,6.814455549709668e-11,192.7659574423945,1.0750746745459394e-11,1960.8941677404896,41666.666666666664,0.0037018372587754645
2500,25.00000000000111,0.08449892263635514,0.006499118137548928,630.8108871221282,7.518578032510832e-11,192.7659574418276,1.1894722116935138e-11,1960.8941677404896,41666.666666666664,0.0037017594890801806
2600,26.000000000001265,0.08476114111307778,0.006515242502324854,695.2775882881854,8.28695082554685e-11,192.7659574412023,1.3143061895385118e-11,1960.8941677404896,41666.666666666664,0.003701681717738305
2700,27.00000000000142,0.0849976802967674,0.006529728834961724,765.6273949044038,9.125443821489198e-11,192.7659574405135,1.4505298855639792e-11,1960.8941677404896,41666.666666666664,0.00370160394445067
2800,28.000000000001577,0.08521149256176344,0.0065427655359975734,842.3978349882537,1.004046376826585e-10,192.76595743975534,1.5991837518760478e-11,1960.8941677404896,41666.666666666664,0.003701526168890785
2900,29.000000000001734,0.08540512877150745,0.006554515370165389,926.1756031596691,1.103900342610222e-10,192.76595743892153,1.7614033937744594e-11,1960.8941677404896,41666.666666666664,0.003701448390702329
3000,30.00000000000189,0.08558080334210606,0.00656511962288445,1017.601062896283,1.2128695229494996e-10,192.76595743800507,1.938428280179616e-11,1960.8941677404896,41666.666666666664,0.0037013706094964406
3100,31.000000000002046,0.08574044701345805,0.006574701471024535,1117.3731614662813,1.3317869867853229e-10,192.76595743699835,2.131611252796272e-11,1960.8941677404896,41666.666666666664,0.0037012928248487315
3200,32.0000000000022,0.08588574995505657,0.0065833687359638125,1226.254795428698,1.461562023641213e-10,192.76595743589334,2.3424289071416243e-11,1960.8941677404896,41666.666666666664,0.003701215036296037
3300,33.000000000002004,0.08601819721417582,0.006591216147312148,1345.078668065158,1.6031871250433368e-10,192.76595743468098,2.572492925346015e-11,1960.8941677404896,41666.666666666664,0.0037011372433328675
3400,34.000000000001805,0.0861390980527929,0.006598327216163446,1474.7536839036052,1.7577456060956276e-10,192.76595743335145,2.8235624480136226e-11,1960.8941677404896,41666.666666666664,0.0037010594454075386
3500,35.000000000001606,0.08624961037345309,0.006604775794600715,1616.2719296419941,1.9264199259797295e-10,192.76595743189404,3.0975575804731574e-11,1960.8941677404896,41666.666666666664,0.0037009816419179514
3600,36.00000000000141,0.08635076117255427,0.006610627381434066,1770.716295309985,2.1105007715488409e-10,192.76595743029716,3.3965741375218726e-11,1960.8941677404896,41666.666666666664,0.003700903832206969
3700,37.00000000000121,0.08644346375988977,0.006615940221393071,1939.2687944540926,2.311396974081302e-10,192.7659574285479,3.7228997403410995e-11,1960.8941677404896,41666.666666666664,0.0037008260155573856
